Date,Close Price,High Price,Low Price,Open Price,Volume
2021-12-19 18PM,47121.57,47178.91,46880,47141.22,751.59703
2021-12-19 19PM,46673.93,47153.79,46580,47117.22,1487.72658
2021-12-19 20PM,46776.39,46902.27,46482.9,46673.94,1033.95367
2021-12-19 21PM,46730.35,46884.95,46631.33,46776.38,597.90587
2021-12-19 22PM,47296.66,47550,46657.96,46730.36,1150.0924
2021-12-19 23PM,46681.23,47432.53,46600,47296.66,1282.52215
2021-12-20 00AM,46880.83,46900,46220,46681.24,1733.03255
2021-12-20 01AM,46619.56,47200,46493.19,46880.83,1539.83912
2021-12-20 02AM,46731.84,46831.57,46459.36,46619.55,980.7049
2021-12-20 03AM,46687.22,46846,46484.99,46731.85,1036.19149
2021-12-20 04AM,46967.48,47032.87,46659.82,46687.22,873.9888
2021-12-20 05AM,46433.18,47049.87,46376.02,46967.48,1375.30955
2021-12-20 06AM,46557.32,46664.96,46250,46433.17,1477.90081
2021-12-20 07AM,46429.19,46557.32,46103,46557.32,1340.34779
2021-12-20 08AM,46283.24,46554,46141.64,46429.19,1265.59991
2021-12-20 09AM,45839.4,46309.16,45819.02,46278.32,2346.10826
2021-12-20 10AM,45882.54,46142.94,45750,45839.4,1435.92368
2021-12-20 11AM,46092.6,46138.06,45822,45882.55,1067.69187
2021-12-20 12PM,45721.52,46092.6,45650,46092.6,1275.36393
2021-12-20 13PM,45713.94,45999.41,45581.94,45721.52,1317.09398
2021-12-20 14PM,46307.49,46313.89,45558.85,45713.94,2633.54582
2021-12-20 15PM,45974.08,46307.49,45907.81,46307.48,1562.93057
2021-12-20 16PM,46412.41,46499,45863.72,45974.09,1636.13153
2021-12-20 17PM,46116.61,46500,46101,46412.5,1200.80394
2021-12-20 18PM,46268.58,46340.1,46025.01,46116.62,1725.71117
2021-12-20 19PM,46585.55,46690,46240.01,46268.58,1717.22917
2021-12-20 20PM,47021.02,47246,46585.55,46585.56,2240.77932
2021-12-20 21PM,46961.23,47537.57,46956.89,47020.99,2309.70816
2021-12-20 22PM,46757.69,47108.92,46717.55,46962.64,727.72223
2021-12-20 23PM,46914.16,47096.96,46747.84,46757.7,1028.84754
2021-12-21 00AM,46793.23,47162.27,46754.39,46914.17,1227.99665
2021-12-21 01AM,46946.72,47000,46630,46793.22,1076.8016
2021-12-21 02AM,46942.54,47098.8,46871.82,46946.72,723.05568
2021-12-21 03AM,47928.47,48085,46914.76,46942.54,3002.1863
2021-12-21 04AM,48555.01,48824.16,47927.05,47928.48,4522.30817
2021-12-21 05AM,48600.51,48768.6,48291.36,48555,2136.57152
2021-12-21 06AM,48546.88,48704.17,48331.56,48600.5,1481.32305
2021-12-21 07AM,48579.77,48671.56,48412.43,48546.88,1225.43448
2021-12-21 08AM,48566.44,49000,48512,48579.77,2877.38845
2021-12-21 09AM,48591.72,48699,48438.49,48566.43,1258.33927
2021-12-21 10AM,48657.85,48785.16,48568.39,48591.71,838.14217
2021-12-21 11AM,48866.92,48899,48623.48,48657.86,1073.64637
2021-12-21 12PM,48735.49,49328.96,48641.35,48866.92,3074.34857
2021-12-21 13PM,48909.49,48970.88,48575.09,48735.49,1564.00435
2021-12-21 14PM,48624.01,48966.2,48520,48909.49,1453.20324
2021-12-21 15PM,48418.49,48788.87,48265.24,48624.01,2209.08606
2021-12-21 16PM,48685.19,48746.97,48381.57,48418.48,1137.16935
2021-12-21 17PM,48655.17,48876.94,48570.32,48685.18,938.65985
2021-12-21 18PM,48441.51,48684.93,48402,48655.16,963.02756
2021-12-21 19PM,48619.79,48660.92,48332.5,48441.51,863.33488
2021-12-21 20PM,48608.95,48791.95,48461.47,48619.8,813.50308
2021-12-21 21PM,49084.25,49177,48528.89,48608.94,1360.5625
2021-12-21 22PM,49287.92,49287.93,48943.61,49084.24,873.50019
2021-12-21 23PM,48889.88,49287.93,48840.01,49287.92,1020.3359
2021-12-22 00AM,48644.13,48992.5,48630.01,48887.59,1027.36177
2021-12-22 01AM,48818.89,48847.14,48600,48644.12,742.92826
2021-12-22 02AM,49326.5,49576.13,48727.47,48818.9,1987.96756
2021-12-22 03AM,49249,49446.35,49141.15,49327.24,892.82053
2021-12-22 04AM,49312.4,49347.9,49081.78,49249,1026.27797
2021-12-22 05AM,48964.88,49331.9,48914.07,49312.4,948.35712
2021-12-22 06AM,49057.21,49230.55,48922.33,48964.87,867.53354
2021-12-22 07AM,49206.42,49300,49055.74,49057.22,796.68034
2021-12-22 08AM,49258.01,49535,49099.54,49206.43,1573.40629
2021-12-22 09AM,48941.35,49325,48830.29,49260.22,1411.98917
2021-12-22 10AM,49084.17,49150,48862.74,48941.35,905.76958
2021-12-22 11AM,48981.99,49234.69,48891.63,49084.17,1062.06155
2021-12-22 12PM,48578.37,49123.62,48512,48981.98,2018.41743
2021-12-22 13PM,48560,48790.95,48421.87,48578.36,1437.56593
2021-12-22 14PM,48805.05,48949.99,48521.18,48560,1246.36353
2021-12-22 15PM,48879.28,48906.76,48624.15,48805.04,1011.17956
